mechanism,initial_train_perf_Dice,initial_train_perf_F1,initial_inference_perf_Dice,initial_inference_perf_F1,performance_difference_Dice,performance_difference_F1,value_Dice,value_F1,train_annotator,test_annotator
P(images),0.6460,0.6283,0.5601,0.5347,-0.0859,-0.0936,-0.0305,-0.0206,3,1
P(labels|images),0.6383,0.6379,0.5517,0.5460,-0.0866,-0.0919,-0.0689,-0.0633,3,2
P(images),0.6383,0.6379,0.5517,0.5460,-0.0866,-0.0919,-0.0177,-0.0286,3,2
P(labels|images),0.6463,0.6389,0.5580,0.5427,-0.0883,-0.0962,-0.0642,-0.0558,3,4
P(images),0.6463,0.6389,0.5580,0.5427,-0.0883,-0.0962,-0.0241,-0.0404,3,4
P(labels|images),0.6419,0.6319,0.5517,0.5352,-0.0902,-0.0967,-0.0684,-0.0693,3,5
P(images),0.6419,0.6319,0.5517,0.5352,-0.0902,-0.0967,-0.0218,-0.0274,3,5
P(labels|images),0.6444,0.6247,0.5596,0.5452,-0.0848,-0.0795,-0.0563,-0.0610,3,6
P(images),0.6444,0.6247,0.5596,0.5452,-0.0848,-0.0795,-0.0285,-0.0185,3,6
P(labels|images),0.6467,0.6301,0.5646,0.5424,-0.0821,-0.0877,-0.0642,-0.0585,3,7
P(images),0.6467,0.6301,0.5646,0.5424,-0.0821,-0.0877,-0.0179,-0.0292,3,7
P(labels|images),0.6499,0.6307,0.5639,0.5387,-0.0860,-0.0920,-0.0557,-0.0709,4,1
P(images),0.6499,0.6307,0.5639,0.5387,-0.0860,-0.0920,-0.0303,-0.0211,4,1
P(labels|images),0.6497,0.6411,0.5602,0.5385,-0.0895,-0.1026,-0.0598,-0.0808,4,2
P(images),0.6497,0.6411,0.5602,0.5385,-0.0895,-0.1026,-0.0297,-0.0218,4,2
P(labels|images),0.6507,0.6267,0.5615,0.5322,-0.0892,-0.0945,-0.0702,-0.0669,4,3
P(images),0.6507,0.6267,0.5615,0.5322,-0.0892,-0.0945,-0.0190,-0.0276,4,3
P(labels|images),0.6528,0.6288,0.5562,0.5245,-0.0966,-0.1043,-0.0711,-0.0823,4,5
P(images),0.6528,0.6288,0.5562,0.5245,-0.0966,-0.1043,-0.0255,-0.0220,4,5
P(labels|images),0.6500,0.6307,0.5534,0.5361,-0.0966,-0.0946,-0.0698,-0.0613,4,6
P(images),0.6500,0.6307,0.5534,0.5361,-0.0966,-0.0946,-0.0268,-0.0333,4,6
P(labels|images),0.6481,0.6240,0.5595,0.5350,-0.0886,-0.0890,-0.0650,-0.0529,4,7
P(images),0.6481,0.6240,0.5595,0.5350,-0.0886,-0.0890,-0.0236,-0.0361,4,7
P(labels|images),0.6484,0.6296,0.5695,0.5344,-0.0789,-0.0952,-0.0599,-0.0601,5,1
P(images),0.6484,0.6296,0.5695,0.5344,-0.0789,-0.0952,-0.0190,-0.0351,5,1
P(labels|images),0.6390,0.6175,0.5573,0.5265,-0.0817,-0.0910,-0.0561,-0.0591,5,2
P(images),0.6390,0.6175,0.5573,0.5265,-0.0817,-0.0910,-0.0256,-0.0319,5,2
P(labels|images),0.6450,0.6282,0.5592,0.5323,-0.0858,-0.0959,-0.0617,-0.0623,5,3
P(images),0.6450,0.6282,0.5592,0.5323,-0.0858,-0.0959,-0.0241,-0.0336,5,3
P(labels|images),0.6436,0.6258,0.5478,0.5332,-0.0958,-0.0926,-0.0703,-0.0539,5,4
P(images),0.6436,0.6258,0.5478,0.5332,-0.0958,-0.0926,-0.0255,-0.0387,5,4
P(labels|images),0.6544,0.6329,0.5521,0.5355,-0.1023,-0.0974,-0.0754,-0.0611,5,6
P(images),0.6544,0.6329,0.5521,0.5355,-0.1023,-0.0974,-0.0269,-0.0363,5,6
P(labels|images),0.6438,0.6173,0.5473,0.5187,-0.0965,-0.0986,-0.0697,-0.0673,5,7
P(images),0.6438,0.6173,0.5473,0.5187,-0.0965,-0.0986,-0.0268,-0.0313,5,7
P(labels|images),0.6368,0.6318,0.5511,0.5323,-0.0857,-0.0995,-0.0575,-0.0704,6,1
P(images),0.6368,0.6318,0.5511,0.5323,-0.0857,-0.0995,-0.0282,-0.0291,6,1
P(labels|images),0.6462,0.6347,0.5586,0.5403,-0.0876,-0.0944,-0.0544,-0.0716,6,2
P(images),0.6462,0.6347,0.5586,0.5403,-0.0876,-0.0944,-0.0332,-0.0228,6,2
P(labels|images),0.6467,0.6348,0.5523,0.5471,-0.0944,-0.0877,-0.0618,-0.0631,6,3
P(images),0.6467,0.6348,0.5523,0.5471,-0.0944,-0.0877,-0.0326,-0.0246,6,3
P(labels|images),0.6371,0.6242,0.5381,0.5237,-0.0990,-0.1005,-0.0649,-0.0762,6,4
P(images),0.6371,0.6242,0.5381,0.5237,-0.0990,-0.1005,-0.0341,-0.0243,6,4
P(labels|images),0.6485,0.6295,0.5621,0.5393,-0.0864,-0.0902,-0.0601,-0.0554,6,5
P(images),0.6485,0.6295,0.5621,0.5393,-0.0864,-0.0902,-0.0263,-0.0348,6,5
P(labels|images),0.6549,0.6244,0.5501,0.5337,-0.1048,-0.0907,-0.0801,-0.0668,6,7
P(images),0.6549,0.6244,0.5501,0.5337,-0.1048,-0.0907,-0.0247,-0.0239,6,7
P(labels|images),0.6538,0.6326,0.5735,0.5413,-0.0803,-0.0913,-0.0526,-0.0718,7,1
P(images),0.6538,0.6326,0.5735,0.5413,-0.0803,-0.0913,-0.0277,-0.0195,7,1
P(labels|images),0.6424,0.6269,0.5455,0.5283,-0.0969,-0.0986,-0.0645,-0.0779,7,2
P(images),0.6424,0.6269,0.5455,0.5283,-0.0969,-0.0986,-0.0324,-0.0207,7,2
P(labels|images),0.6409,0.6297,0.5532,0.5408,-0.0877,-0.0889,-0.0535,-0.0689,7,3
P(images),0.6409,0.6297,0.5532,0.5408,-0.0877,-0.0889,-0.0342,-0.0200,7,3
P(labels|images),0.6549,0.6342,0.5614,0.5377,-0.0935,-0.0965,-0.0701,-0.0582,7,4
P(images),0.6549,0.6342,0.5614,0.5377,-0.0935,-0.0965,-0.0234,-0.0383,7,4
P(labels|images),0.6511,0.6395,0.5636,0.5509,-0.0875,-0.0886,-0.0634,-0.0649,7,5
P(images),0.6511,0.6395,0.5636,0.5509,-0.0875,-0.0886,-0.0241,-0.0237,7,5
P(labels|images),0.6533,0.6336,0.5628,0.5401,-0.0905,-0.0935,-0.0686,-0.0651,7,6
P(images),0.6533,0.6336,0.5628,0.5401,-0.0905,-0.0935,-0.0219,-0.0284,7,6
